鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,縣市
新興區,房地(土地+建物)+車位,高雄市新興區中山一路１６號二十七樓之１０,3.91,都市：其他:第五種商業區,,,1091123,土地2建物1車位1,二十七層,三十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1150121,100.21000000000001,2,1,1,有,有,9780000,113121,坡道平面,26.13,1400000,另有讓渡預售屋、或土地及建物分件登記案件；,RPOOMLLJMHLGFBE47DA,44.79,0.0,3.46,有,,高雄市
鳳山區,房地(土地+建物),高雄市鳳山區北昌路３６號,17.64,住,,,1150403,土地1建物1車位0,一層，見其他登記事項,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1030221,98.51,1,1,2,有,有,14500000,147193,,0.0,0,附冷氣其他增建；,RPUNMLOLMHLGFGE98DA,63.26,0.0,2.19,有,0046,高雄市
太平區,房地(土地+建物)+車位,臺中市太平區環中東路四段６３號三樓之５,14.02,住,,,1150318,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100721,111.96000000000001,2,2,1,有,有,10380000,92712,坡道平面,31.08,0,,RPOOMLMLMHLGFJB28DA,46.66,1.47,7.09,有,0121,台中市
永和區,房地(土地+建物),新北市永和區雙和街２５巷７號四樓,38.39,住,,,1150402,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,Ｒ．Ｃ框造,0601209,101.18,3,2,1,有,無,16800000,166041,,0.0,0,陽台外推；頂樓加蓋；,RPQNMLRLMHLGFHF09DA,101.18,0.0,0.0,無,,新北市
西屯區,房地(土地+建物),臺中市西屯區工業區３７路３８號,1136.6,工,,,1150408,土地1建物1車位0,全,一層,透天厝,工業用,鋼造,0830502,796.36,0,0,0,無,無,144000000,180823,,0.0,0,其他增建；未登記建物；,RPOPMLNLMHLGFCB77DA,796.36,0.0,0.0,無,,台中市
湖口鄉,土地,中勢段363地號,862.75,農,,,1141224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2124300,2462,,0.0,0,農作物；,RPTNMLKLMHLGFDJ68DA,0.0,0.0,0.0,無,084,新竹縣
小港區,房地(土地+建物),高雄市小港區宏平路４３３號四樓之５,6.84,其他,,,1120331,土地1建物1車位0,四層,十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1150212,91.03999999999999,2,2,1,有,有,6850000,75242,,0.0,0,第一次讓渡日期114/03/24第二次讓渡日期115/03/25預售屋、或土地及建物分件登記案件；,RPOOMLOJNHLGFCE97DA,52.29,0.0,7.01,有,,高雄市
八德區,房地(土地+建物)+車位,桃園市八德區大和路６６號八樓,15.36,住,,,1150321,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960815,127.98,3,2,2,有,有,13400000,120133,坡道平面,31.42,1800000,陽台外推；,RPTOMLSJNHLGFFH86DA,64.21,2.06,6.26,有,0251,桃園市
龜山區,房地(土地+建物)+車位,桃園市龜山區興華一街３０１號六樓,23.4,住,,,1120626,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150114,122.82,2,1,2,有,有,14630000,142406,坡道平面,34.13,2000000,預售屋、或土地及建物分件登記案件；,RPSOMLNJNHLGFHH09DA,55.04,0.0,3.89,有,,桃園市
林園區,房地(土地+建物),高雄市林園區椰樹東巷３８弄８０號,114.0,其他,,,1150312,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1141110,247.71,4,2,5,有,無,18000000,72666,,0.0,0,,RPOOMLRJNHLGFLE56DA,229.83,0.0,17.88,有,,高雄市
小港區,土地,水庫段327-1地號,271.6,都市：其他:保護區,,,1141203,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5540558,20400,,0.0,0,協議價購；,RPXUMLLLMHLGFCE66DA,0.0,0.0,0.0,無,0323,高雄市
淡水區,房地(土地+建物)+車位,新北市淡水區義山路一段４０１巷４０號五樓,18.38,住,,,1130709,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150407,149.04000000000002,3,2,2,有,有,14240000,101347,坡道平面,25.8,1750000,預售屋、或土地及建物分件登記案件；,RPXOMLTLMHLGFEF17DA,72.6,0.0,9.33,有,,新北市
淡水區,房地(土地+建物),新北市淡水區學府路２０５巷４號五樓,57.42,住,,,1141208,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691119,106.55,3,2,2,有,無,8500000,79775,,0.0,0,,RPOOMLSKNHLGFEF78DA,106.55,0.0,0.0,無,,新北市
三重區,土地,五谷王段122地號,151.72,商,,,1150317,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,39335400,259263,,0.0,0,合建案建商與地主間之交易；,RPOOMLTLMHLGFGF09DA,0.0,0.0,0.0,無,0295,新北市
八德區,房地(土地+建物)+車位,桃園市八德區中正一路２５號五樓,10.64,商,,,1130630,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140805,112.09,2,2,1,有,有,12260000,128279,坡道平面,28.6,1550000,轉讓日期:114.6.14，原價轉讓。預售屋、或土地及建物分件登記案件；,RPTNMLOKNHLGFFH09DA,50.71,0.0,5.67,有,,桃園市
中山區,房地(土地+建物),臺北市中山區明水路３９７巷７弄６０號四樓之２,13.5,都市：其他:第三種住宅區。,,,1150227,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810618,43.760000000000005,1,1,1,有,有,15160000,346435,,0.0,0,陽台外推；其他增建；,RPSNMLQKMHLGFCA08DA,29.71,1.88,3.4,有,114,台北市
豐原區,土地,北天段1237地號,54.2,住,,,1150403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2623038,48396,,0.0,0,持分買賣親友、員工、共有人或其他特殊關係間之交易；,RPSOMLQJNHLGFDB38DA,0.0,0.0,0.0,無,,台中市
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區大新一街３３９號七樓,12.11,商,,,1130625,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150327,128.92,2,2,1,有,有,12800000,110926,坡道平面,27.05,1500000,預售屋、或土地及建物分件登記案件；,RPTQMLNLMHLGFEH56DA,60.92,0.0,6.79,有,,桃園市
湖口鄉,土地,永安段32地號,85.49,,一般農業區,農牧用地,1141231,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1083000,12668,,0.0,0,,RPSNMLRJJHLGFDJ78DA,0.0,0.0,0.0,無,089,新竹縣
鼓山區,車位,明誠四路２１８號等共用部分,7.89,商,,,1150428,土地1建物1車位2,,,其他,,,,56.22,0,0,0,無,有,6000000,,坡道平面,56.22,0,僅車位交易；,RPPNMLNKNHLGFAE87EA,0.0,0.0,0.0,有,,高雄市
沙鹿區,土地,新竹林段72地號,143.22,都市：其他:保護區,,,1150427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1299675,9075,,0.0,0,,RPXNMLSKNHLGFFB66DA,0.0,0.0,0.0,無,,台中市
路竹區,土地,福善段879地號,144.0,,鄉村區,乙種建築用地,1150426,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1771200,12300,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLKNHLGFJE58EA,0.0,0.0,0.0,無,,高雄市
小港區,房地(土地+建物),高雄市小港區高松路１９之３號九樓,15.54,商,,,1150411,土地2建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1140411,124.5,3,2,2,有,有,10000000,80321,,0.0,0,,RPOOMLPJNHLGFCE08DA,71.65,0.0,9.55,有,,高雄市
龜山區,房地(土地+建物)+車位,桃園市龜山區興華一街３０１號二樓,27.22,住,,,1120630,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150114,140.47,2,1,2,有,有,18100000,149520,坡道平面,34.13,2200000,預售屋、或土地及建物分件登記案件；,RPOOMLNJNHLGFHH68DA,61.2,0.0,9.46,有,,桃園市
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區山鼻二路１９５號三樓,22.83,住,,,1130524,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150319,139.95,3,2,2,有,有,13740000,111050,坡道平面,31.53,1700000,114.07.13 母子原價轉讓預售屋、或土地及建物分件登記案件；,RPOPMLSLMHLGFEH09DA,66.98,0.0,5.2,有,,桃園市
板橋區,車位,新北市板橋區民族路３４巷１號等共同使用,0.52,商,,,1141211,土地2建物1車位1,,,其他,,,,66.12,0,0,0,無,有,1500000,,坡道機械,22.04,1500000,僅車位交易；,RPXNMLSLMHLGFAF56DA,0.0,0.0,0.0,有,0014,新北市
中壢區,房地(土地+建物)+車位,桃園市中壢區龍陵路１９７號六樓,27.22,住,,,1150312,土地1建物1車位2,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061228,210.0,4,2,2,有,有,18300000,87143,坡道平面,67.28,0,,RPQNMLRJNHLGFBH58DA,87.86,1.54,11.03,有,0162,桃園市
土城區,房地(土地+建物)+車位,新北市土城區青和街７１號十樓,21.77,住,,,1091217,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150123,147.18,3,2,2,有,有,14350000,106171,坡道平面,31.8,2100000,預售屋、或土地及建物分件登記案件；,RPOPMLMLLHLGFAF77DA,73.07,0.0,4.11,有,,新北市
永和區,房地(土地+建物)+車位,新北市永和區中山路一段１００號三樓之６,13.54,商,,,1100913,土地4建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1141202,174.03,3,2,2,有,有,28450000,187391,坡道平面,36.35,2650000,權利人於民國112.09.27讓渡取得，讓渡總價新台幣2900萬元整。預售屋、或土地及建物分件登記案件；,RPWOMLOJNHLGFHF76DA,84.67,0.0,6.14,有,,新北市
北區,房地(土地+建物),臺中市北區梅豐街８２之４號,25.47,住,,,1150324,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,79.85,3,2,1,有,無,4150000,51972,,0.0,0,頂樓加蓋；,RPVQMLRKMHLGFBB78DA,79.85,0.0,0.0,無,,台中市
中正區,房地(土地+建物),臺北市中正區博愛路３６號八樓,28.3,都市：其他:第四種商業區。,,,1150119,土地2建物1車位0,八層,九層,華廈(10層含以下有電梯),,鋼筋混凝土造,0630603,259.66,4,1,1,有,無,52500000,202187,,0.0,0,,RPXNMLKLLHLGFBA87DA,259.66,0.0,0.0,有,,台北市
三重區,房地(土地+建物)+車位,新北市三重區中正北路１６５巷５７號十四樓,20.41,住,,,1150313,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970201,156.44,3,2,2,有,有,26000000,166198,坡道平面,26.55,0,陽台外推；其他增建；,RPWNMLLLMHLGFGF98DA,85.66,0.0,9.72,有,0252,新北市
萬華區,房地(土地+建物),臺北市萬華區水源路２０５之５號十七樓,32.36,都市：其他:第三之二種住宅區。,,,1150202,土地2建物1車位0,十七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861023,183.55,3,2,2,有,有,28800000,156905,,0.0,0,陽台外推；其他增建；,RPTRMLNKMHLGFBA18DA,95.69,0.0,13.81,有,111,台北市
新興區,房地(土地+建物),高雄市新興區中山一路１６號三十樓之７,4.6,都市：其他:第五種商業區,,,1091225,土地2建物1車位0,三十層,三十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1150121,87.22,2,1,1,有,有,9880000,113277,,0.0,0,另有讓渡預售屋、或土地及建物分件登記案件；,RPQPMLKKMHLGFBE77DA,53.45,0.0,3.38,有,,高雄市
沙鹿區,房地(土地+建物)+車位,臺中市沙鹿區向上路六段７７０號二樓之３,25.86,住,,,1150321,土地3建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010823,112.22,2,2,1,有,有,7450000,66387,坡道平面,21.19,0,,RPPNMLQKMHLGFFB18DA,57.54,0.0,6.14,有,0129,台中市
北屯區,房地(土地+建物),臺中市北屯區順興街２２０號,106.67,住,,,1150125,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1110715,286.06,4,2,6,有,有,38000000,132839,,0.0,0,其他增建；,RPVNMLTJMHLGFBB58DA,271.85,0.0,14.21,有,0185,台中市
橋頭區,房地(土地+建物)+車位,高雄市橋頭區成功南路４７３號十一樓之２,19.34,住,,,1130118,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1150302,134.43,3,2,2,有,有,14860000,109097,坡道平面,14.72,1800000,預售屋、或土地及建物分件登記案件；,RPPNMLRJNHLGFFE58DA,63.4,0.0,12.74,有,,高雄市
沙鹿區,房地(土地+建物)+車位,臺中市沙鹿區三民路１０９號十三樓之６,25.4,住,,,1121003,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150212,145.92000000000002,3,2,2,有,有,14800000,109221,坡道平面,25.98,1700000,預售屋、或土地及建物分件登記案件；,RPRSMLOLLHLGFFB68DA,72.94,0.0,7.21,有,,台中市
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東二路３１９號十樓,27.82,住,,,1150215,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970402,208.3,4,2,2,有,有,24180000,116083,坡道平面,30.08,0,,RPTNMLPLKHLGFAE18DA,113.65,0.0,13.18,有,,高雄市
太平區,房地(土地+建物)+車位,臺中市太平區育才路１７７號五樓之１,19.14,住,,,1121220,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150113,124.66999999999999,2,2,1,有,有,11660000,102240,坡道平面,28.23,1800000,預售屋、或土地及建物分件登記案件；,RPSSMLLMLHLGFJB98DA,56.52,0.0,6.53,有,,台中市
淡水區,房地(土地+建物)+車位,新北市淡水區義山路一段４０１巷４２號三樓,18.15,住,,,1130807,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150407,147.45999999999998,3,2,2,有,有,14290000,101841,坡道平面,25.8,1900000,115.1.14權利轉讓總價為新台幣1429萬元整母子預售屋、或土地及建物分件登記案件；,RPPOMLRLMHLGFEF78DA,72.45,0.0,8.4,有,,新北市
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂北二路５０７號十樓之１,45.02,住,,,1130412,土地2建物1車位2,十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150126,227.58999999999997,4,2,2,有,有,34000000,179003,坡道平面,66.14,5100000,權利讓渡日期:114/04/20預售屋、或土地及建物分件登記案件；,RPWNMLRJNHLGFBB58DA,95.54,0.0,10.92,有,,台中市
新興區,房地(土地+建物)+車位,高雄市新興區八德一路１２２號五樓之５,15.71,其他,,,1150408,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1141110,133.43,3,2,2,有,有,14640000,102065,坡道平面,14.29,2480000,,RPROMLMKNHLGFBE08DA,63.8,0.0,11.87,有,,高雄市
關西鎮,土地,關農段454-3地號,127.96,住,,,1141129,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8820281,68930,,0.0,0,,SPRNMLLLMHLGFBJ48DA,0.0,0.0,0.0,無,,新竹縣
土城區,房地(土地+建物),新北市土城區明德路一段２００號五樓,18.14,住,,,1150427,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831205,107.42,2,2,2,有,有,14600000,135915,,0.0,0,陽台外推；,RPQQMLLKNHLGFAF18EA,85.22,0.0,11.14,有,0080,新北市
中壢區,房地(土地+建物)+車位,桃園市中壢區南園二路２９６巷２０號二樓,24.51,住,,,1150325,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030628,166.42,3,2,2,有,有,15000000,90133,坡道平面,0.0,0,,RPVOMLQLLHLGFBH09DA,80.83,1.26,10.23,有,0179,桃園市
新興區,房地(土地+建物)+車位,高雄市新興區中山一路１６號四樓之２１,5.41,都市：其他:第五種商業區,,,1101115,土地2建物1車位1,四層,三十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1150121,112.28,2,1,1,有,有,11370000,103374,坡道機械,10.03,800000,另有讓渡預售屋、或土地及建物分件登記案件；,RPOOMLKLMHLGFBE57DA,46.01,0.0,20.69,有,,高雄市
前金區,房地(土地+建物),高雄市前金區中華四路３０２號三樓之１１,4.31,商,,,1150421,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850920,39.44,1,1,1,有,有,2800000,70994,,0.0,0,,RPTOMLOJNHLGFAE28DA,25.2,0.0,3.32,有,0070,高雄市
西屯區,房地(土地+建物)+車位,臺中市西屯區上墩東街８８號二十一樓之１１,19.67,住,,,1150320,土地1建物1車位1,二十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051124,188.05,2,2,2,有,有,27800000,147833,坡道平面,33.08,0,,RPWNMLOLMHLGFCB48DA,92.04,1.93,11.05,有,0096,台中市
大寮區,土地,林內段1177地號,3003.1,都市：其他:第二種住宅區,,,1150423,土地14建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11050000,3680,,0.0,0,,RPWNMLKMMHLGFLE76DA,0.0,0.0,0.0,無,0038,高雄市
中和區,車位,新北市中和區橋和路１２０之２號等,9.02,工,,,1150414,土地1建物1車位2,,,其他,,,,50.71,0,0,0,無,有,4000000,,坡道平面,50.7,4000000,僅車位交易；,RPSNMLMJNHLGFHF68DA,0.0,0.0,0.0,有,0049,新北市
中和區,房地(土地+建物),新北市中和區景平路２９０號六樓之三,3.43,住,,,1150212,土地1建物1車位0,六層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910816,43.28,1,1,1,有,有,10190000,235444,,0.0,0,夾層；,RPRNMLPKMHLGFHF88DA,28.5,0.0,2.74,有,0322,新北市
龜山區,土地,南上段1-1地號,334.44,,,,1141214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5785843,17300,,0.0,0,協議價購；,RPTSMLOKMHLGFHH07DA,0.0,0.0,0.0,無,0313,桃園市
內湖區,房地(土地+建物),臺北市內湖區環山路一段５９巷１０弄１０號四樓,27.84,都市：其他:第三種住宅區。,,,1150210,土地3建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680910,93.82,6,2,5,有,無,19300000,205713,,0.0,0,頂樓加蓋；,RPPNMLRJNHLGFCA87DA,85.3,0.0,8.52,無,115,台北市
龜山區,房地(土地+建物),桃園市龜山區文東五街１０６號,97.72,住,,,1150306,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0960401,208.16,3,2,4,有,有,23000000,110492,,0.0,0,陽台外推；夾層；,RPXNMLTJMHLGFHH37DA,175.62,10.5,22.04,無,,桃園市
沙鹿區,房地(土地+建物)+車位,臺中市沙鹿區三民路１０９號十五樓之３,31.69,住,,,1121220,土地1建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150212,200.18,4,2,2,有,有,19750000,109297,坡道平面,51.96,3550000,預售屋、或土地及建物分件登記案件；,RPWPNLOLLHLGFFB98DA,88.52,0.0,10.52,有,,台中市
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉中崙１００之７號,74.8,,特定農業區,甲種建築用地,1150307,土地4建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,1141223,145.11,3,2,3,有,無,14820000,102129,一樓平面,0.0,0,,RPQNMLQJNHLGFDJ98EA,140.98,0.0,4.13,無,,新竹縣
中山區,房地(土地+建物),臺北市中山區林森北路４０９號十一樓之９、１０,5.55,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1150405,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710531,69.34,3,1,1,有,有,11500000,165849,,0.0,0,陽台外推；,RPSOMLPKMHLGFCA08DA,40.26,0.0,4.94,有,,台北市
五股區,房地(土地+建物)+車位,新北市五股區西雲路１１０巷１８號二樓,13.72,住,,,1150301,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131119,128.45,2,2,1,有,有,14500000,133718,坡道平面,34.97,2000000,,RPUOMLLKNHLGFBF38DA,52.59,3.88,6.63,有,,新北市
蘆竹區,土地,南竹段336-2地號,1057.85,農,,,1150130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,65920000,62315,,0.0,0,,RPQSMLSJMHLGFEH76DA,0.0,0.0,0.0,無,,桃園市
林口區,房地(土地+建物)+車位,新北市林口區南勢一街６６號四樓之６,22.71,住,,,1120802,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1150225,105.87,2,2,1,有,有,11540000,139145,坡道平面,36.59,1900000,預售屋、或土地及建物分件登記案件；,RPXNMLMKMHLGFBF58DA,42.5,0.0,3.43,有,,新北市
新莊區,房地(土地+建物),新北市新莊區新泰路２５５巷４０號五樓,33.49,住,,,1150407,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770227,122.29,4,2,2,有,無,7000000,57241,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLNKNHLGFBF48DA,98.9,1.25,11.02,無,,新北市
板橋區,房地(土地+建物)+車位,新北市板橋區文化路二段６５號十樓,15.41,住,,,1100620,土地2建物1車位1,十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1141120,159.72,3,2,2,有,有,31580000,226812,坡道平面,32.39,2700000,原買方劉OO與新買方陳OO於115.4.23 簽立權利義務移轉證明更名轉讓總價款不變預售屋、或土地及建物分件登記案件；,RPUOMLKLNHLGFAF28DA,77.74,0.0,5.59,有,,新北市
三民區,房地(土地+建物),高雄市三民區鼎力路２８８號,69.0,商,,,1150206,土地1建物1車位0,全,四層,透天厝,見其它登記事項,鋼筋混凝土造,0740530,266.56,3,2,5,有,無,33000000,123800,,0.0,0,,RPPOMLQJNHLGFDE38DA,259.15,0.0,7.41,無,,高雄市
中壢區,房地(土地+建物)+車位,桃園市中壢區中園路１９２號八樓之１６,89.23,,工業區,丁種建築用地,1131016,土地1建物1車位3,八層,十二層,住宅大樓(11層含以上有電梯),工業用,鋼筋混凝土造,1141127,551.75,0,0,0,無,有,41500000,84690,坡道平面,123.72,5250000,預售屋、或土地及建物分件登記案件；,RPSNMLTKLHLGFBH88DA,274.86,0.0,0.0,有,,桃園市
沙鹿區,房地(土地+建物),臺中市沙鹿區正英八街１８８號,105.05,住,,,1150315,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1140916,246.09,4,3,5,有,無,36000000,146288,,0.0,0,,RPSPMLMKNHLGFFB38DA,227.15,0.0,18.94,有,,台中市
楊梅區,房地(土地+建物),桃園市楊梅區福羚路２３２巷８號二樓,14.9,住,,,1150309,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820313,80.2,2,1,1,有,有,4800000,59850,,0.0,0,,RPTNMLSJNHLGFDH56DA,56.85,0.0,7.3,有,,桃園市
楠梓區,房地(土地+建物),高雄市楠梓區楠盛街１２４號十五樓,9.33,商,,,1150408,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850205,69.3,2,2,1,有,有,4980000,71861,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLKLMHLGFEE58DA,47.1,0.0,4.56,有,,高雄市
大雅區,房地(土地+建物),臺中市大雅區中清路三段８４２號,180.0,工,,,1150421,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0740103,256.68,5,2,3,有,無,38000000,148044,,0.0,0,土地價：3572萬元建物價：228萬元頂樓加蓋；其他增建；,RPQNMLQJNHLGFHB48DA,244.78,0.0,11.9,無,,台中市
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北一路３３５號三樓之６,9.41,都市：其他:第六種新市政中心專用區,,,1120715,土地1建物1車位1,三層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造、鋼筋混凝土造,1150313,173.22,3,2,2,有,有,29130000,171351,坡道平面,14.89,2000000,預售屋、或土地及建物分件登記案件；,RPTPMLOJNHLGFCB28DA,85.65,10.96,9.05,有,,台中市
南屯區,房地(土地+建物)+車位,臺中市南屯區三厝街５３號,84.62,住,,,1150414,土地2建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0960724,305.43,4,2,4,有,有,36000000,117867,坡道平面,29.09,0,頂樓加蓋；其他增建；,RPPPMLMKNHLGFCB77DA,210.39,6.39,21.13,無,0049,台中市
中和區,房地(土地+建物),新北市中和區景平路６４巷１４弄６號四樓,13.9,住,,,1150410,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0650705,41.76,2,1,1,有,無,5300000,126916,,0.0,0,,RPSOMLMKNHLGFHF88DA,41.76,0.0,0.0,無,,新北市
南港區,土地,中南段四小段631地號,281.75,都市：其他:第二種住宅區。,,,1150415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3634575,12900,,0.0,0,,RPQNMLMKNHLGFDA77EA,0.0,0.0,0.0,無,,台北市
太平區,房地(土地+建物)+車位,臺中市太平區育才路１６９號四樓之５,20.2,住,,,1130409,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150113,123.69,2,2,1,有,有,12150000,108422,坡道平面,28.23,1800000,預售屋、或土地及建物分件登記案件；,RPXWMLKKMHLGFJB07DA,57.42,0.0,7.06,有,,台中市
大安區,房地(土地+建物)+車位,臺北市大安區臥龍街２９８號二樓之１,18.53,都市：其他:第三種住宅區。,,,1050901,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造、鋼筋混凝土造,1140901,145.01,2,2,1,有,有,20308500,184521,坡道平面,46.33,2100000,1.權利人為都市更新權利變換之現地安置戶。2.依都市更新權利變換計畫案所載交易日期為權利變換計畫案核定公告實施日。3.房地交易總價為實分配權利價值。,RPPOMLNLMHLGFFA97DA,56.11,3.61,5.81,有,,台北市
五股區,房地(土地+建物)+車位,新北市五股區新城八路３４３號六樓,22.22,住,,,1130320,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141223,126.33,2,2,1,有,有,14920000,140431,坡道平面,36.82,2350000,預售屋、或土地及建物分件登記案件；,RPRNMLSLMHLGFBF68DA,49.26,5.66,5.17,有,,新北市
