鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,縣市
中山區,房地(土地+建物),臺北市中山區錦州街１９４號四樓,37.0,都市：其他:第三種住宅區。,,,1150328,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610727,92.85,4,2,2,有,無,19500000,210016,,0.0,0,陽台外推；頂樓加蓋；,RPUOMLPKNHLGFCA38DA,92.85,0.0,0.0,無,,台北市
三重區,房地(土地+建物)+車位,新北市三重區三信路７９號十一樓,26.47,住,,,1140925,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961024,169.81,3,2,2,有,有,26580000,156528,坡道平面,34.25,0,,RPSRMLLKNHLGFGF98DA,77.88,3.1,10.32,有,,新北市
中山區,房地(土地+建物),臺北市中山區新生北路二段７０號十二樓,4.02,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1150120,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0861115,43.56,1,1,1,有,有,9630000,221074,,0.0,0,陽台外推；夾層；其他增建；,RPROMLKMMHLGFCA67DA,24.64,0.0,3.37,有,,台北市
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區山鼻二路１９３號五樓,26.03,住,,,1130512,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150319,155.11,3,2,2,有,有,14770000,105761,坡道平面,31.53,1700000,預售屋、或土地及建物分件登記案件；,RPPOMLSLMHLGFEH09DA,72.37,0.0,9.9,有,,桃園市
梧棲區,房地(土地+建物),臺中市梧棲區大德路９２巷６３號,93.14,住,,,1150302,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130717,235.94,5,2,5,有,有,25800000,109350,,0.0,0,,RPRNMLMKNHLGFFB08DA,210.93,0.0,25.01,有,,台中市
小港區,土地,坪北段605-8地號,130.34,,,,1150204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1968091,15100,,0.0,0,協議價購；,RPQOMLLLMHLGFCE97DA,0.0,0.0,0.0,無,0281,高雄市
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段７６５號五樓之８,5.51,商,,,1100122,土地1建物1車位1,五層,三十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1141028,89.9,2,2,1,有,有,9150000,106739,坡道機械,12.14,850000,1.讓渡日期:114/6/242.此申報總價為原始買賣合約價格預售屋、或土地及建物分件登記案件；,RPQOMLOLMHLGFCB97DA,45.03,1.67,4.27,有,,台中市
楊梅區,土地,草湳坡段草湳坡小段86地號,39.94,住,,,1150122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,721800,18072,,0.0,0,每坪:6000元整,RPUNMLLLMHLGFDH68DA,0.0,0.0,0.0,無,,桃園市
內門區,土地,中新段34地號,1129.1,,山坡地保育區,農牧用地,1150429,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,720000,638,,0.0,0,,RPPNMLSJNHLGFHE88DA,0.0,0.0,0.0,無,,高雄市
前鎮區,房地(土地+建物)+車位,高雄市前鎮區前鎮街８８之１號十五樓,14.13,商,,,1150329,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080201,135.29,2,2,2,有,有,12000000,88698,坡道機械,17.36,0,,RPSOMLPJNHLGFCE48DA,68.91,2.12,3.5,有,0203,高雄市
北屯區,房地(土地+建物)+車位,臺中市北屯區旱溪西路三段２０８號四樓之６,41.33,住,,,1150403,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1111026,185.9,3,2,2,有,有,20500000,110274,坡道平面,26.49,0,,RPVQMLPKMHLGFBB58DA,94.59,0.0,9.09,有,0025,台中市
中和區,土地,光復段48地號,140.28,都市：其他:垃圾處理廠用地,,,1150409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15690000,111848,,0.0,0,包含公共設施保留地用地；,RPOOMLSJNHLGFHF98DA,0.0,0.0,0.0,無,0102,新北市
中山區,房地(土地+建物),臺北市中山區合江街１７巷１２之１號,34.38,都市：其他:第貳種商業區(依都市計畫說明書圖規定辦理，始得作第貳種商業區使用)(原屬第參種住宅區)及第二種商業區。,,,1150209,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640305,113.24,3,2,2,有,無,16000000,141293,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLRJNHLGFCA08EA,102.52,10.72,0.0,無,,台北市
觀音區,房地(土地+建物)+車位,桃園市觀音區富貴二街５０號四樓,30.18,住,,,1150207,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141001,107.53999999999999,2,2,1,有,有,7900000,92579,一樓平面,37.33,1400000,,RPWNMLRLMHLGFBH66DA,48.85,0.0,3.79,有,,桃園市
三民區,房地(土地+建物)+車位,高雄市三民區寶興路９０號,27.28,其他,,,1150506,土地1建物1車位1,一層，二層，三層，騎樓,十四層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0860419,197.02,3,2,3,有,有,12200000,61923,坡道平面,37.4,0,,RPPNMLQJNHLGFDE28DA,125.46,0.0,18.41,有,,高雄市
林口區,房地(土地+建物)+車位,新北市林口區吉祥路３６號十三樓,12.34,商,,,1120228,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150213,134.9,3,2,2,有,有,18640000,150277,坡道平面,26.5,2350000,預售屋、或土地及建物分件登記案件；,RPROMLMLJHLGFBF87DA,63.68,0.0,7.0,有,,新北市
中正區,房地(土地+建物),臺北市中正區羅斯福路二段７０號八樓之１０,5.76,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1150324,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780701,78.47,1,2,1,有,有,26880000,342551,,0.0,0,陽台外推；,RPPOMLNLMHLGFAA47DA,43.38,0.0,19.76,有,,台北市
橋頭區,土地,筆秀段196地號,38.3,其他,,,1150423,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1629598,42548,,0.0,0,包含公共設施保留地用地；,RPSNMLLKNHLGFFE38DA,0.0,0.0,0.0,無,0127,高雄市
三峽區,房地(土地+建物),新北市三峽區二鬮路１３６巷１６弄３３號,62.0,,山坡地保育區,丙種建築用地,1150419,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0701228,88.0,5,4,3,有,無,9000000,102273,,0.0,0,平台外推、空地前後增建。陽台外推；其他增建；,RPOOMLNKNHLGFIF68DA,72.0,8.0,8.0,無,,新北市
前鎮區,房地(土地+建物),高雄市前鎮區佛西街５號,59.0,住,,,1150419,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0811124,209.65,5,3,4,有,無,9750000,46506,,0.0,0,鐵皮屋頂增建，一樓後面增建至二樓，賣方已折價讓售予買方.不負房屋瑕疵擔保責任其他增建；,RPTNMLRJNHLGFCE68DA,183.13,5.09,21.43,無,,高雄市
蘆竹區,土地,新福段35地號,10.83,,特定農業區,甲種建築用地,1150425,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,167752,15490,,0.0,0,含土地增值稅或其他稅費69042元；受民情風俗因素影響；,TPUNMLPJNHLGFEH66DA,0.0,0.0,0.0,無,0020,桃園市
大園區,土地,南港段537-1地號,449.79,,一般農業區,交通用地,1150408,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16327200,36300,,0.0,0,,RPXOMLLKNHLGFEH56DA,0.0,0.0,0.0,無,,桃園市
新店區,房地(土地+建物),新北市新店區國校路５號,47.53,住,,,1150406,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0660725,68.4,3,3,3,有,無,10500000,153509,,0.0,0,頂樓加蓋；其他增建；,RPPNMLQJNHLGFCF28DA,68.4,0.0,0.0,無,,新北市
關西鎮,土地,錦山段416-8地號,277.0,,山坡地保育區,丙種建築用地,1150408,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4300000,15523,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLPJNHLGFBJ48DA,0.0,0.0,0.0,無,,新竹縣
關西鎮,土地,東光段480地號,4162.82,農,,,1150416,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,31460000,7557,,0.0,0,,RPXOMLOJNHLGFBJ66DA,0.0,0.0,0.0,無,030,新竹縣
北屯區,房地(土地+建物)+車位,臺中市北屯區南興北一路１１６號十三樓之１,25.86,住,,,1121229,土地1建物1車位2,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150205,229.76999999999998,4,2,2,有,有,28150000,152849,坡道平面,68.5,3500000,預售屋、或土地及建物分件登記案件；,RPXOMLQKMHLGFBB68DA,94.65,0.0,10.96,有,,台中市
北屯區,房地(土地+建物),臺中市北屯區梅川東路四段１４６號１２樓,8.15,住,,,1150131,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831103,86.79,2,2,1,有,有,6300000,72589,,0.0,0,,RPPOMLKMMHLGFBB47DA,57.46,1.29,2.42,有,,台中市
北區,房地(土地+建物)+車位,臺中市北區北平四街５號四樓之３,8.56,商,,,1150328,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071130,75.28,1,1,1,有,有,8820000,117163,坡道機械,14.05,0,,RPPNMLSKMHLGFBB97DA,35.13,2.08,1.98,有,0105,台中市
新埔鎮,土地,下旱坑段769地號,3324.16,,山坡地保育區,農牧用地,1150126,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12382726,3725,,0.0,0,,RPXOMLRJNHLGFBJ96DA,0.0,0.0,0.0,無,077,新竹縣
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區豪登一街１４８號五樓,12.83,商,,,1120621,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150327,135.04,3,2,1,有,有,11200000,90749,坡道平面,27.05,1400000,預售屋、或土地及建物分件登記案件；,RPOPMLNLMHLGFEH58DA,64.54,0.0,7.26,有,,桃園市
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段７６３號八樓之１３,6.08,商,,,1090827,土地1建物1車位1,八層,三十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1141028,115.95,2,2,1,有,有,10500000,105399,坡道平面,30.56,1500000,預售屋、或土地及建物分件登記案件；,RPWPMLOLMHLGFCB68DA,49.04,3.0,3.92,有,,台中市
蘆洲區,房地(土地+建物),新北市蘆洲區中山二路１３７巷３６號四樓,23.95,住,,,1150228,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700429,94.53,3,1,2,有,無,6000000,63472,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVOMLRJNHLGFGF86DA,80.11,0.0,14.42,無,,新北市
北屯區,房地(土地+建物)+車位,臺中市北屯區南興北一路１１８號十一樓之６,14.66,住,,,1120604,土地1建物1車位1,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150205,125.43,2,2,1,有,有,13910000,133911,坡道平面,34.25,1700000,預售屋、或土地及建物分件登記案件；,RPROMLRKMHLGFBB18DA,55.06,0.0,4.67,有,,台中市
鳳山區,土地,文山段706-3地號,21.75,住,,,1150420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1188158,54628,,0.0,0,地清或未辦繼承標售；,SPSNMLLKNHLGFGE58DA,0.0,0.0,0.0,無,0084,高雄市
板橋區,房地(土地+建物)+車位,新北市板橋區華江三路１３２號九樓,17.68,住,,,1150419,土地1建物1車位1,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131227,140.19,2,2,1,有,有,26350000,215462,坡道平面,30.89,2800000,,RPQNMLRJNHLGFAF38EA,60.49,8.75,3.96,有,,新北市
中壢區,土地,仁德段932地號,117.11,農,,,1150427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3250000,27752,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTPMLMKNHLGFBH68DA,0.0,0.0,0.0,無,,桃園市
桃園區,車位,桃園市桃園區幸福路２３７號三樓等,0.0,,,,1150410,土地0建物1車位1,,,其他,,,,24.84,0,0,0,無,有,1900000,,坡道平面,24.84,1900000,建物坐落地號：水汴頭段253地號；僅車位交易；,RPWNMLTLMHLGFAH76DA,0.0,0.0,0.0,有,0062,桃園市
三民區,房地(土地+建物),高雄市三民區鼎貴路１２８巷２號,100.0,其他,,,1150313,土地1建物1車位0,全,二層,透天厝,見其它登記事項,鋼筋混凝土造,0740522,145.76,8,3,4,有,無,13500000,92618,,0.0,0,其他增建；,RPQNMLPJNHLGFDE28DA,138.63,0.0,7.13,無,,高雄市
梧棲區,房地(土地+建物)+車位,臺中市梧棲區八德路一段６８號九樓之２,9.42,商,,,1150225,土地1建物1車位1,九層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140606,131.64,3,2,2,有,有,8000000,60772,坡道平面,24.74,0,,RPRPMLMLMHLGFFB28DA,66.53,0.0,4.41,有,0169,台中市
芎林鄉,土地,王爺坑段125地號,1098.0,,山坡地保育區,農牧用地,1150120,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7500000,6831,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPSNMLSLMHLGFCJ66DA,0.0,0.0,0.0,無,,新竹縣
新莊區,房地(土地+建物),新北市新莊區萬安街５７巷１８號,28.11,住,,,1150304,土地5建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0780106,114.06,3,2,2,有,無,10900000,95564,,0.0,0,,RPXQMLRJNHLGFBF76DA,102.78,8.53,0.0,無,,新北市
平鎮區,房地(土地+建物),桃園市平鎮區自強街１７巷９號,32.93,住,,,1150416,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0660406,84.0,4,2,2,有,無,2150000,25595,,0.0,0,增建部分:防火巷及三樓.四樓,RPPOMLKLMHLGFGH48DA,84.0,0.0,0.0,無,,桃園市
新興區,房地(土地+建物),高雄市新興區中山一路１６號二十六樓之１２,4.34,其他,,,1100419,土地2建物1車位0,二十六層,三十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1150121,82.77,2,1,1,有,有,8810000,106440,,0.0,0,另有讓渡金額900萬元預售屋、或土地及建物分件登記案件；,RPRTMLKMLHLGFBE38DA,47.25,0.0,6.65,有,,高雄市
