Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
LOOOVE (feat. Kid Cudi),UTOPIA,Travis Scott,7/28/2023,USSM12305018,"3,919",21.6,"72,380,469","32,141","3,198,359",63.0,"2,630,153","52,698","1,049","384,088","4,244,746",,4.0,19,,2.0,,8.0,"228,994",212,,"50,640",,1
Saiyaan Ji,Saiyaan Ji,Yo Yo Honey Singh,1/27/2021,INS182100158,"3,942",21.5,"39,793,463","5,646","1,398,949",48.0,"585,353,915","6,571,121",,,,"228,557,696",1.0,"1,059",,,,3.0,,,,"197,659",,0
Overwhelmed,Overwhelmed,Royal & the Serpent,6/26/2020,USAT22002973,"3,813",21.9,"189,175,699","49,325","8,000,164",62.0,"14,575,452","497,747","2,335,837","210,789,823","2,001,548,087",,14.0,"22,497",163,6.0,"74,359",6.0,"16,754,992","17,139","5,117,469","1,456,206",,0
Ophelia,Ophelia,The Lumineers,2/5/2016,USDMG1673802,"2,350",29.4,"1,274,848,626","213,943","47,156,566",70.0,"267,224,710","2,081,752","49,941","30,833,392","234,589,315","5,412,813",86.0,"56,784",195,34.0,"41,816",39.0,"347,987,957","153,704",,"3,480,225",,0
OUT WEST (feat. Young Thug),JACKBOYS,JACKBOYS,12/27/2019,USSM11914988,675,58.8,"709,850,383","165,912","33,706,762",70.0,"75,540,671","750,424","8,269,500","222,858,336","1,876,371,239","8,841,698",69.0,"29,239",103,24.0,"103,760",13.0,"36,432,352","55,187",,"3,068,690",,1
Red Ruby Da Sleeze,Red Ruby Da Sleeze,Nicki Minaj,3/3/2023,USUM72302705,"2,504",28.3,"148,574,146","25,770","27,326,995",59.0,"39,166,702","619,142","6,500","2,704,073","21,611,489","21,914,535",39.0,"90,970",156,8.0,"113,301",26.0,"21,922,593","6,693",,"1,090,214",,1
We're Good,Future Nostalgia (The Moonlight Edition),Dua Lipa,2/11/2021,GBAHT2001117,"2,049",31.8,"515,693,079","56,753","16,981,156",62.0,"139,617,172","1,511,209","76,990","24,650,112","200,621,230","346,012,847",106.0,"265,354",162,40.0,"409,034",28.0,"129,291,565","11,386",,"2,909,613",,0
Moto,Moto - Single,Diler Kharkiya,1/6/2020,INR731900731,778,54.9,,424,"60,155",,"706,716,815","3,418,527","10,000,000","79,580,452","1,357,260,180",,,,,,,,,,,,,0
Jingle Bell Rock,"Essential Classics, Vol. 141: Bobby Helms",Bobby Helms,11/3/2023,ES31E2304202,"3,478",23.1,"964,357,785",2,"21,523",,,,,,,,,,,,,,,,,,,0
GATï¿½ï¿½,GATï¿½ï¿½,KAROL G,8/26/2022,USUM72216070,623,61.0,"427,247,328","42,444","22,820,163",66.0,"547,409,394","3,332,851","333,197","26,378,245","275,273,861","708,455,030",38.0,"41,880",104,24.0,"6,138,492",41.0,"51,711,477","9,193",,"1,177,588",,0
double take,double take,Dhruv,5/24/2019,GBMJG1911043,"1,737",35.0,"826,685,494","106,975","21,112,809",76.0,"353,174,602","2,826,209","2,516,713","555,171,983","4,653,743,727","166,290,699",39.0,"13,341",9,7.0,"49,460",4.0,"433,712","1,592","10,994,470","1,873,276",,0
Thot Shit,Thot Shit,Megan Thee Stallion,6/11/2021,QMCE32100339,"2,176",30.8,"319,372,639","63,421","26,904,800",60.0,"166,781,349","2,497,154","711,938","542,884,940","3,757,736,116","50,913,560",91.0,"81,209",175,15.0,"143,489",39.0,"64,291,360","28,935",,"1,499,357",,1
BEBECITA,BEBECITA,Skolim,5/31/2024,FRX872472215,"4,042",21.2,"115,283",17,"9,351",,"7,869,218","72,222",,,,,,1,,,,,,,,"1,083",,0
Laung Laachi Title Track,"Laung Laachi Title Track (From ""Laung Laachi"")",Mannat Noor,2/22/2018,INS181800353,"2,422",29.0,"30,173,434","6,294","1,007,695",45.0,"1,535,932,925","6,444,235",,,,"27,338,879",6.0,,,,,2.0,,,,"256,247",,0
Too Easy,Too Easy,Gunna,9/24/2021,QMCE32100757,"3,452",23.2,"133,039,977","69,577","7,803,085",54.0,"21,842,375","250,732","33,573","29,171,201","241,202,185","27,878,588",17.0,"19,365",401,3.0,"7,731",9.0,"15,478,634","3,139","13,914,231","216,542",,1
Tacata (Remix),Tacata (Remix),Tiagz,12/22/2023,USA2P2363165,"4,178",20.7,"100,634,965","8,790","29,458,776",,"19,367,095","200,936",,,,"1,215,044,371",5.0,"1,910",,2.0,"3,193",5.0,"408,770","1,903",,"291,674",,1
River,Endless Summer Vacation,Miley Cyrus,3/10/2023,USSM12209783,"4,032",21.2,"132,653,623","15,227","7,111,182",59.0,"51,695,313","709,774","23,486","6,323,191","65,838,521","88,141,082",40.0,"71,387",634,31.0,"907,532",33.0,"7,371,225","1,092",,"434,881",,0
Young Dumb & Broke,The RCA-List (Vol. 5),Khalid,1/1/2017,USRC11700144,881,51.4,"1,527,159,800","187,813","83,108,168",76.0,"1,270,330,281","8,766,754","194,595","27,581,217","216,666,194","189,783,592",172.0,"31,081",185,47.0,"604,640",26.0,"410,189,803","283,135","9,133,063","6,513,209",,0
Lavender Haze,Midnights,Taylor Swift,10/21/2022,USUG12205734,"1,090",45.9,"711,138,043","42,535","28,394,531",73.0,"26,695,871","411,132","90,029","35,207,211","302,181,012",,66.0,"249,917","1,936",11.0,"844,207",54.0,"54,466,202","20,497",,"900,372",,1
Ride It,Ride It,Regard,7/26/2019,GBCEN1900047,382,78.2,"1,349,427,877","220,002","106,549,747",76.0,"564,022,753","3,884,141","3,646,762","362,781,709","5,118,900,832","49,285,616",357.0,"386,774",894,273.0,"2,339,277",65.0,"182,505,519","51,884","19,580,257","16,283,609",,0
Bi' Tek Ben Anlarï¿½,Bi' Tek Ben Anlarï¿½,Kï¿½ï,3/18/2022,TRAUR2200002,"2,480",28.6,"214,391,030","27,588","8,269,792",58.0,"301,701,293","1,063,678","315,600","8,311,405","196,090,529","16,824,491",12.0,"29,501",,3.0,"1,622,897",,,,,"861,877",,0
Dance Alone,Dance Alone,Sia,2/7/2024,USAT22400525,"3,660",22.4,"25,180,079","3,020","15,579,341",3.0,"4,405,480","64,658",,,,"2,050,084,502",46.0,"40,258",79,32.0,"6,943,957",45.0,"847,587",68,,"206,471",,0
Bidi Bidi Bom Bom (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402910,277,93.0,"58,157,068",30,"171,325",,,,,,,,1.0,,,,,,"95,804,398","106,600",,,,0
The One That Got Away,Teenage Dream,Katy Perry,1/1/2010,USCA21001266,"4,172",20.7,"921,351,898","110,426","34,757,269",67.0,"1,126,799,119","5,603,400","110,393","54,883,634","397,746,382","528,140,571",40.0,"25,625",16,21.0,"81,354",16.0,"302,855,271","220,209",,"4,674,619",,0
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,KRA402400016,32,237.5,"124,893,397","3,479","25,936,342",82.0,"359,896,095","4,907,193","212,500","48,327,004","390,081,328","38,798,822",36.0,"2,188",32,3.0,"347,997",26.0,"130,743",592,"265,670","191,867",,0
ýýýýýý,ýýýýýý,SPRITE,4/29/2021,TH2DY2100061,"2,803",26.5,"9,126,545","2,349","139,340",41.0,"440,738,171","3,204,368","1,821,332","96,385,707","1,185,912,241","27,961,594",7.0,819,,,,,,,,"117,936",,1
DISPARA ***,DISPARA ***,Nicki Nicole,5/17/2023,UYB282300010,"2,301",29.8,"182,184,068","23,852","8,214,976",66.0,"132,049,541","854,994",,,,"523,463,948",11.0,"5,313",,22.0,"441,318",12.0,"182,885",107,,"176,341",,1
Tchuco Nela,Tchuco Nela,MC Rogerinho,4/8/2022,BCN5Z2200003,"3,727",22.2,"154,127,881","14,889","8,354,745",72.0,"233,659,337","1,167,552","585,700","74,359,518","1,245,591,509","499,045,923",5.0,216,,26.0,"213,644",8.0,,,,"136,448",,1
Fluxxwave,Fluxxwave,Clovis Reyes,5/7/2023,QZK6N2350050,"2,002",32.2,"88,673,935","17,012","6,135,810",69.0,"171,113,686","2,566,181","241,100","41,298,885","332,392,194","3,165",1.0,,,1.0,"128,640",,,,,"441,367",,0
